Numéro de sinistre;Numéro du lot sinistré;Identifiant_lot;Branche;Garantie;Num police;Etat sinistre;Année de survenance;Montant Règlements totaux;Montant Règlements en principal;Montant Règlements en frais;Montant Provision ;Montant Recours;Charge nette;Montant du loyer sinistré;Date d'extraction
G12-563394L;439520239;439520239/2012;Compensée;LI;AXEL-12-001418;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;386;28/02/2018
G12-563397L;214080128;214080128/2012;Compensée;LI;AXEL-10-000606;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;305;28/02/2018
G12-563405L;271130010;271130010/2012;Compensée;LI;AXEL-10-000174;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;1 115;28/02/2018
G12-563408L;65090069;65090069/2012;Compensée;LI;AXEL-10-000614;TER;2012; 3 619    ; 2 670    ; 949    ; -      ;-150    ; 3 469    ;0;28/02/2018
G12-563411L;227000296;227000296/2012;Compensée;LI;AXEL-10-000121;TER;2012; 1 042    ; 813    ; 229    ; -      ;-863    ; 178    ;444;28/02/2018
G12-563426L;214750005;214750005/2012;Compensée;LI;AXEL-10-000320;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;540;28/02/2018
G12-563427L;239600190;239600190/2012;Compensée;LI;AXEL-10-000707;TER;2012; 1 422    ; 892    ; 530    ; -      ;-462    ; 960    ;1 045;28/02/2018
G12-563433L;21590929;21590929/2012;Compensée;LI;AXEL-10-000123;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;385;28/02/2018
G12-563436L;268760091;268760091/2012;Compensée;LI;AXEL-10-000625;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;445;28/02/2018
G12-563441L;157150042;157150042/2012;Compensée;LI;AXEL-10-000552;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;96;28/02/2018
G12-563447L;192580096;192580096/2012;Compensée;LI;AXEL-10-000069;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;487;28/02/2018
G12-563449L;88780087;88780087/2012;Compensée;LI;AXEL-10-000385;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;540;28/02/2018
G12-563456L;1004820089;1004820089/2012;Compensée;LI;AXEL-10-000358;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;777;28/02/2018
G12-563462L;64210014;64210014/2012;Compensée;LI;AXEL-10-000261;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;1 532;28/02/2018
G12-563465L;64210030;64210030/2012;Compensée;LI;AXEL-10-000261;TER;2012; 323    ; 323    ; -      ; -      ; -      ; 323    ;800;28/02/2018
G12-563467L;432060049;432060049/2012;Compensée;LI;AXEL-11-001188;TER;2012; 4 100    ; 2 320    ; 1 780    ; -      ;-2 320    ; 1 780    ;920;28/02/2018
G12-563471L;206380232;206380232/2012;Compensée;LI;AXEL-10-000687;TER;2012; 12 641    ; 8 968    ; 3 673    ; -      ;-1 500    ; 11 141    ;1 011;28/02/2018
G12-563476L;88780086;88780086/2012;Compensée;LI;AXEL-10-000385;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;635;28/02/2018
G12-563478L;88780010;88780010/2012;Compensée;LI;AXEL-10-000385;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;527;28/02/2018
G12-563484L;223210081;223210081/2012;Compensée;LI;AXEL-10-001128;TER;2012; 17 890    ; 12 053    ; 5 838    ; -      ; -      ; 17 890    ;492;28/02/2018
G12-563486L;288680100;288680100/2012;Compensée;LI;AXEL-10-000416;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;749;28/02/2018
G12-563488L;222140068;222140068/2012;Compensée;LI;AXEL-10-000684;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;515;28/02/2018
G12-563489L;222140011;222140011/2012;Compensée;LI;AXEL-10-000684;TER;2012; 5 103    ; 3 537    ; 1 566    ; -      ;-1 084    ; 4 018    ;487;28/02/2018
G12-563495L;247590464;247590464/2012;Compensée;LI;AXEL-10-000122;TER;2012; 14 509    ; 9 887    ; 4 622    ; -      ;-611    ; 13 898    ;502;28/02/2018
G12-563503L;85460030;85460030/2012;Compensée;LI;AXEL-10-000851;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;695;28/02/2018
G12-563506L;285570074;285570074/2012;Compensée;LI;AXEL-10-000205;TER;2012; 3 564    ; 1 462    ; 2 102    ; -      ; -      ; 3 564    ;0;28/02/2018
G12-563507L;215730029;215730029/2012;Compensée;LI;AXEL-12-001433;TER;2012; 7 363    ; 4 505    ; 2 859    ; -      ;-1 391    ; 5 972    ;708;28/02/2018
G12-563519L;286900003;286900003/2012;Compensée;LI;AXEL-11-001259;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;612;28/02/2018
G12-563520L;21591100;21591100/2012;Compensée;LI;AXEL-10-000123;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;680;28/02/2018
G12-563522L;259130005;259130005/2012;Compensée;LI;AXEL-10-000099;TER;2012; 4 111    ; 1 945    ; 2 166    ; -      ; -      ; 4 111    ;602;28/02/2018
G12-563528L;190040198;190040198/2012;Compensée;LI;AXEL-10-000626;TER;2012; 2 992    ; 1 963    ; 1 029    ; -      ; -      ; 2 992    ;540;28/02/2018
G12-563531L;218410088;218410088/2012;Compensée;LI;AXEL-10-000726;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;640;28/02/2018
G12-563533L;219880104;219880104/2012;Compensée;LI;AXEL-10-001123;TER;2012; 1 034    ; 806    ; 228    ; -      ; -      ; 1 034    ;403;28/02/2018
G12-563534L;286240021;286240021/2012;Compensée;LI;AXEL-10-000035;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;470;28/02/2018
G12-563550L;9008560052;9008560052/2012;Compensée;LI;AXEL-11-001319;TER;2012; 7 051    ; 4 641    ; 2 410    ; -      ; -      ; 7 051    ;407;28/02/2018
G12-563551L;204580088;204580088/2012;Compensée;LI;AXEL-10-000009;TER;2012; 5 413    ; 2 652    ; 2 760    ; -      ;-665    ; 4 747    ;423;28/02/2018
G12-563572L;9010530191;9010530191/2012;Compensée;LI;AXEL-12-001436;TER;2012; 7 416    ; 5 179    ; 2 237    ; -      ;-417    ; 6 998    ;652;28/02/2018
G12-563587L;425470015;425470015/2012;Compensée;LI;AXEL-11-001195;TER;2012; 24 831    ; 16 497    ; 8 334    ; -      ; -      ; 24 831    ;0;28/02/2018
G12-563589L;276580020;276580020/2012;Compensée;LI;AXEL-10-000704;TER;2012; 26 424    ; 18 692    ; 7 732    ; -      ; -      ; 26 424    ;815;28/02/2018
G12-563603L;429730086;429730086/2012;Compensée;LI;AXEL-10-001099;TER;2012; 3 876    ; 1 765    ; 2 111    ; -      ; -      ; 3 876    ;575;28/02/2018
G12-563604L;257000073;257000073/2012;Compensée;LI;AXEL-10-000527;TER;2012; 24 341    ; 19 238    ; 5 103    ; -      ;-13 723    ; 10 617    ;846;28/02/2018
G12-563606L;206380206;206380206/2012;Compensée;LI;AXEL-10-000687;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;760;28/02/2018
G12-563611L;208640066;208640066/2012;Compensée;LI;AXEL-10-000983;TER;2012; 1 452    ; 1 452    ; -      ; -      ; -      ; 1 452    ;455;28/02/2018
G12-563618L;273310077;273310077/2012;Compensée;LI;AXEL-10-000036;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;885;28/02/2018
G12-563633L;285630225;285630225/2012;Compensée;LI;AXEL-10-000096;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;800;28/02/2018
G12-563652L;158360038;158360038/2012;Compensée;LI;AXEL-10-000465;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;666;28/02/2018
G12-563653L;158360038;158360038/2012;Compensée;LI;AXEL-10-000465;TER;2012; 13 654    ; 9 959    ; 3 695    ; -      ; -      ; 13 654    ;675;28/02/2018
G12-563665L;236850020;236850020/2012;Compensée;LI;AXEL-11-001361;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;650;28/02/2018
G12-563681L;1003020359;1003020359/2012;Compensée;LI;AXEL-10-000945;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;133;28/02/2018
G12-563686L;36040091;36040091/2012;Compensée;LI;AXEL-10-000484;TER;2012; 11 325    ; 6 573    ; 4 752    ; -      ;-282    ; 11 043    ;1 250;28/02/2018
G12-563695L;432060159;432060159/2012;Compensée;LI;AXEL-11-001188;TER;2012; 27 235    ; 19 958    ; 7 277    ; -      ; -      ; 27 235    ;691;28/02/2018
G12-563703L;232310043;232310043/2012;Compensée;LI;AXEL-10-000319;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;324;28/02/2018
G12-563707L;409150008;409150008/2012;Compensée;LI;AXEL-10-000231;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;574;28/02/2018
G12-563729L;150790058;150790058/2012;Compensée;LI;AXEL-10-000079;TER;2012; 12 749    ; 8 518    ; 4 231    ; -      ;-100    ; 12 649    ;733;28/02/2018
G12-563750L;274670025;274670025/2012;Compensée;LI;AXEL-11-001332;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;650;28/02/2018
G12-563751L;230790155;230790155/2012;Compensée;LI;AXEL-10-000082;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;322;28/02/2018
G12-563761L;157680058;157680058/2012;Compensée;LI;AXEL-10-000406;TER;2012; 720    ; 720    ; -      ; -      ;-720    ; -      ;0;28/02/2018
G12-563765L;125030281;125030281/2012;Compensée;LI;AXEL-10-000150;TER;2012; 29 927    ; 25 883    ; 4 044    ; -      ;-5 749    ; 24 178    ;0;28/02/2018
G12-563776L;277890004;277890004/2012;Compensée;LI;AXEL-10-000964;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;790;28/02/2018
G12-563789L;436010040;436010040/2012;Compensée;LI;AXEL-11-001268;TER;2012; 12 866    ; 8 232    ; 4 634    ; -      ;-74    ; 12 792    ;858;28/02/2018
G12-563791L;202070055;202070055/2012;Compensée;LI;AXEL-10-000114;TER;2012; 1 231    ; 1 003    ; 228    ; -      ; -      ; 1 231    ;443;28/02/2018
G12-563801L;216530080;216530080/2012;Compensée;LI;AXEL-10-000080;TER;2012; 13 141    ; 8 113    ; 5 029    ; -      ;-598    ; 12 544    ;436;28/02/2018
G12-563802L;268500065;268500065/2012;Compensée;LI;AXEL-10-000215;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;479;28/02/2018
G12-563816L;221790020;221790020/2012;Compensée;LI;AXEL-10-000343;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;662;28/02/2018
G12-563818L;146290111;146290111/2012;Compensée;LI;AXEL-10-000118;TER;2012; 24 524    ; 17 735    ; 6 789    ; -      ;-18 352    ; 6 172    ;0;28/02/2018
G12-563821L;88780035;88780035/2012;Compensée;LI;AXEL-10-000385;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;490;28/02/2018
G12-563822L;76420006;76420006/2012;Compensée;LI;AXEL-10-000153;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;1 062;28/02/2018
G12-563826L;157150097;157150097/2012;Compensée;LI;AXEL-10-000552;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;395;28/02/2018
G12-563829L;157150089;157150089/2012;Compensée;LI;AXEL-10-000552;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;380;28/02/2018
G12-563834L;205720119;205720119/2012;Compensée;LI;AXEL-10-000038;TER;2012; 220    ; 220    ; -      ; -      ;-135    ; 85    ;360;28/02/2018
G12-563842L;52520061;52520061/2012;Compensée;LI;AXEL-10-001182;TER;2012; 4 714    ; 4 714    ; -      ; -      ;-4 814    ;-100    ;850;28/02/2018
G12-563843L;52520075;52520075/2012;Compensée;LI;AXEL-10-001182;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;634;28/02/2018
G12-563853L;240100093;240100093/2012;Compensée;LI;AXEL-10-001146;TER;2012; 8 828    ; 4 128    ; 4 699    ; -      ; -      ; 8 828    ;391;28/02/2018
G12-563854L;68380027;68380027/2012;Compensée;LI;AXEL-10-000228;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;435;28/02/2018
G12-563856L;53930057;53930057/2012;Compensée;LI;AXEL-10-001119;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;673;28/02/2018
G12-563862L;239600193;239600193/2012;Compensée;LI;AXEL-10-000707;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;840;28/02/2018
G12-563867L;157150049;157150049/2012;Compensée;LI;AXEL-10-000552;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;592;28/02/2018
G12-563870L;88780099;88780099/2012;Compensée;LI;AXEL-10-000385;TER;2012; 13 418    ; 7 883    ; 5 535    ; -      ; -      ; 13 418    ;457;28/02/2018
G12-563871L;88780038;88780038/2012;Compensée;LI;AXEL-10-000385;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;654;28/02/2018
G12-563875D;415570035;415570035/2012;Compensée;LI;AXEL-10-000685;TER;2012; 76    ; 76    ; -      ; -      ; -      ; 76    ;413;28/02/2018
G12-563877L;206380148;206380148/2012;Compensée;LI;AXEL-10-000687;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;464;28/02/2018
G12-563880L;206380216;206380216/2012;Compensée;LI;AXEL-10-000687;TER;2012; 12 359    ; 10 290    ; 2 069    ; -      ; -      ; 12 359    ;589;28/02/2018
G12-563885L;223160052;223160052/2012;Compensée;LI;AXEL-10-000253;TER;2012; 10 420    ; 6 476    ; 3 944    ; -      ; -      ; 10 420    ;708;28/02/2018
G12-563900L;299470147;299470147/2012;Compensée;LI;AXEL-10-000578;TER;2012; 8 546    ; 5 204    ; 3 342    ; -      ;-850    ; 7 696    ;609;28/02/2018
G12-563924L;21591167;21591167/2012;Compensée;LI;AXEL-10-000123;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;698;28/02/2018
G12-563937L;21591103;21591103/2012;Compensée;LI;AXEL-10-000123;TER;2012; 21 514    ; 16 781    ; 4 733    ; -      ;-3 260    ; 18 254    ;549;28/02/2018
G12-563948L;21590994;21590994/2012;Compensée;LI;AXEL-10-000123;TER;2012; 415    ; 415    ; -      ; -      ; -      ; 415    ;922;28/02/2018
G12-563953L;167900116;167900116/2012;Compensée;LI;AXEL-10-000760;TER;2012; 35 381    ; 30 421    ; 4 960    ; -      ;-250    ; 35 131    ;1 366;28/02/2018
G12-563956L;189230073;189230073/2012;Compensée;LI;AXEL-10-000916;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;755;28/02/2018
G12-563957L;264180024;264180024/2012;Compensée;LI;AXEL-10-000883;TER;2012; 22 840    ; 16 558    ; 6 281    ; -      ;-3 623    ; 19 217    ;679;28/02/2018
G12-563959L;61770018;61770018/2012;Compensée;LI;AXEL-10-000871;TER;2012; 786    ; 558    ; 228    ; -      ; -      ; 786    ;405;28/02/2018
G12-563961L;245080057;245080057/2012;Compensée;LI;AXEL-12-001399;TER;2012; 14 424    ; 8 585    ; 5 839    ; -      ; -      ; 14 424    ;809;28/02/2018
G12-563964L;143180157;143180157/2012;Compensée;LI;AXEL-10-000350;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;735;28/02/2018
G12-563983L;148310057;148310057/2012;Compensée;LI;AXEL-10-000765;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;357;28/02/2018
G12-563984L;59680069;59680069/2013;Compensée;LI;AXEL-10-000252;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;730;28/02/2018
G12-563985L;21590942;21590942/2012;Compensée;LI;AXEL-10-000123;TER;2012; 18 862    ; 14 277    ; 4 584    ; -      ;-1 506    ; 17 356    ;0;28/02/2018
G12-563988L;215730147;215730147/2012;Compensée;LI;AXEL-12-001433;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;720;28/02/2018
G12-563990L;249230106;249230106/2012;Compensée;LI;AXEL-10-000682;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;555;28/02/2018
G12-563991L;125030162;125030162/2012;Compensée;LI;AXEL-10-000150;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;715;28/02/2018
G12-563995L;128720177;128720177/2012;Compensée;LI;AXEL-10-000337;TER;2012; 8 564    ; 4 405    ; 4 159    ; -      ; -      ; 8 564    ;735;28/02/2018
G12-564002L;1003020453;1003020453/2012;Compensée;LI;AXEL-10-000945;TER;2012; 3 862    ; 1 912    ; 1 950    ; -      ;-2 142    ; 1 720    ;656;28/02/2018
G12-564006L;212000024;212000024/2012;Compensée;LI;AXEL-10-000398;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;596;28/02/2018
G12-564016L;81340160;81340160/2012;Compensée;LI;AXEL-11-001364;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;366;28/02/2018
G12-564030L;292140010;292140010/2012;Compensée;LI;AXEL-10-000341;TER;2012; 6 867    ; 3 812    ; 3 055    ; -      ;-336    ; 6 531    ;831;28/02/2018
G12-564038L;148410075;148410075/2012;Compensée;LI;AXEL-10-000783;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;950;28/02/2018
G12-564040L;247320115;247320115/2012;Compensée;LI;AXEL-10-000047;TER;2012; 3 337    ; 1 435    ; 1 902    ; -      ;-1 737    ; 1 600    ;570;28/02/2018
G12-564043L;39160154;39160154/2012;Compensée;LI;AXEL-10-000107;TER;2012; 956    ; 727    ; 229    ; -      ; -      ; 956    ;500;28/02/2018
G12-564052L;286240016;286240016/2012;Compensée;LI;AXEL-10-000035;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;600;28/02/2018
G12-564054L;284170124;284170124/2012;Compensée;LI;AXEL-10-000104;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;680;28/02/2018
G12-564057L;237690031;237690031/2013;Compensée;LI;AXEL-10-000908;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;450;28/02/2018
G12-564058L;219390044;219390044/2012;Compensée;LI;AXEL-10-000430;TER;2012; 6 741    ; 5 110    ; 1 630    ; -      ;-300    ; 6 441    ;539;28/02/2018
G12-564065L;289580206;289580206/2012;Compensée;LI;AXEL-10-001114;TER;2012; 10 550    ; 7 176    ; 3 375    ; -      ;-4 403    ; 6 148    ;0;28/02/2018
G12-564067L;232310181;232310181/2012;Compensée;LI;AXEL-10-000319;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;629;28/02/2018
G12-564075L;295390062;295390062/2013;Compensée;LI;AXEL-10-000374;TER;2013; 1 162    ; 704    ; 458    ; -      ; -      ; 1 162    ;825;28/02/2018
G12-564078L;211450009;211450009/2012;Compensée;LI;AXEL-10-000867;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;674;28/02/2018
G12-564080L;415570007;415570007/2013;Compensée;LI;AXEL-10-000685;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;489;28/02/2018
G12-564083L;179950020;179950020/2013;Compensée;LI;AXEL-10-000421;TER;2013; 1 459    ; 1 230    ; 229    ; -      ; -      ; 1 459    ;615;28/02/2018
G12-564089L;180290078;180290078/2012;Compensée;LI;AXEL-10-000303;TER;2012; 707    ; 478    ; 228    ; -      ; -      ; 707    ;0;28/02/2018
G12-564096L;439520279;439520279/2012;Compensée;LI;AXEL-12-001418;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;1 263;28/02/2018
G12-564098L;68300149;68300149/2013;Compensée;LI;AXEL-10-000264;TER;2013; 785    ; 785    ; -      ; -      ; -      ; 785    ;650;28/02/2018
G12-564099L;209940547;209940547/2012;Compensée;LI;AXEL-10-000675;TER;2012; 14 765    ; 11 004    ; 3 761    ; -      ; -      ; 14 765    ;728;28/02/2018
G12-564118L;439520007;439520007/2013;Compensée;LI;AXEL-12-001418;REC;2013; 7 887    ; 575    ; 7 312    ; -      ; -      ; 7 887    ;611;28/02/2018
G12-564131L;239600167;239600167/2013;Compensée;LI;AXEL-10-000707;TER;2013; 645    ; 645    ; -      ; -      ;-645    ; -      ;249;28/02/2018
G12-564158L;231750092;231750092/2013;Compensée;LI;AXEL-10-000185;TER;2013; 4 377    ; 1 766    ; 2 611    ; -      ;-1 210    ; 3 167    ;660;28/02/2018
G12-564161L;214590060;214590060/2012;Compensée;LI;AXEL-10-000442;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;635;28/02/2018
G12-564166L;190040114;190040114/2013;Compensée;LI;AXEL-10-000626;TER;2013; 1 325    ; 1 180    ; 144    ; -      ;-1 180    ; 144    ;521;28/02/2018
G12-564168L;240550128;240550128/2012;Compensée;LI;AXEL-10-000197;TER;2012; 863    ; 863    ; -      ; -      ;-863    ; -      ;870;28/02/2018
G12-564179L;148310062;148310062/2013;Compensée;LI;AXEL-10-000765;TER;2013; 10 873    ; 7 024    ; 3 849    ; -      ;-1 307    ; 9 566    ;715;28/02/2018
G12-564186L;148310028;148310028/2012;Compensée;LI;AXEL-10-000765;TER;2012; 1 476    ; 1 248    ; 228    ; -      ; -      ; 1 476    ;459;28/02/2018
G12-564187L;65090124;65090124/2012;Compensée;LI;AXEL-10-000614;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;594;28/02/2018
G12-564193L;245470112;245470112/2013;Compensée;LI;AXEL-10-001042;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;420;28/02/2018
G12-564204L;259130041;259130041/2012;Compensée;LI;AXEL-10-000099;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;572;28/02/2018
G12-564213L;150260096;150260096/2012;Compensée;LI;AXEL-10-000281;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;433;28/02/2018
G12-564226L;277250105;277250105/2012;Compensée;LI;AXEL-10-000469;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;409;28/02/2018
G12-564232L;203300280;203300280/2013;Compensée;LI;AXEL-10-000315;TER;2013; 1 203    ; 975    ; 228    ; -      ; -      ; 1 203    ;0;28/02/2018
G12-564238L;277250160;277250160/2013;Compensée;LI;AXEL-10-000469;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;450;28/02/2018
G12-564244L;275100010;275100010/2012;Compensée;LI;AXEL-10-001173;TER;2012; 671    ; 671    ; -      ; -      ; -      ; 671    ;575;28/02/2018
G12-564265L;405610134;405610134/2012;Compensée;LI;AXEL-11-001237;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;850;28/02/2018
G12-564279L;222140006;222140006/2012;Compensée;LI;AXEL-10-000684;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;530;28/02/2018
G12-564294L;167900119;167900119/2013;Compensée;LI;AXEL-10-000760;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;620;28/02/2018
G12-564309L;438570046;438570046/2013;Compensée;LI;AXEL-12-001478;TER;2013; 1 234    ; 1 004    ; 229    ; -      ; -      ; 1 234    ;342;28/02/2018
G12-564333L;1003020412;1003020412/2012;Compensée;LI;AXEL-10-000945;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;509;28/02/2018
G12-564376L;240100084;240100084/2013;Compensée;LI;AXEL-10-001146;TER;2013; 1 777    ; 1 777    ; -      ; -      ; -      ; 1 777    ;415;28/02/2018
G12-564408L;9006600097;9006600097/2012;Compensée;LI;AXEL-10-000974;TER;2012; 12 699    ; 9 539    ; 3 160    ; -      ; -      ; 12 699    ;604;28/02/2018
G12-564439L;146990218;146990218/2012;Compensée;LI;AXEL-10-000012;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;340;28/02/2018
G12-564490L;439520303;439520303/2012;Compensée;LI;AXEL-12-001418;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;705;28/02/2018
G12-564901L;146350039;146350039/2012;Compensée;LI;AXEL-10-000922;NG;2012; -      ; -      ; -      ; -      ; -      ; -      ;550;28/02/2018
G12-565700L;1002020155;1002020155/2012;Compensée;LI;AXEL-10-000949;SS;2012; -      ; -      ; -      ; -      ; -      ; -      ;1 027;28/02/2018
G12-571136L;161510022;161510022/2013;Compensée;LI;AXEL-10-000196;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;900;28/02/2018
G13-040738L;53930027;53930027/2013;Compensée;LI;AXEL-10-001119;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;610;28/02/2018
G13-040826L;181390105;181390105/2013;Compensée;LI;AXEL-10-000019;TER;2013; 3 543    ; 1 652    ; 1 891    ; -      ; -      ; 3 543    ;454;28/02/2018
G13-040887L;167900119;167900119/2013;Compensée;LI;AXEL-10-000760;TER;2013; 1 220    ; 1 122    ; 98    ; -      ;-1 122    ; 98    ;630;28/02/2018
G13-040981L;81340370;81340370/2013;Compensée;LI;AXEL-11-001364;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;448;28/02/2018
G13-041016L;225570030;225570030/2013;Compensée;LI;AXEL-10-000577;TER;2013; 1 009    ; 1 009    ; -      ; -      ; -      ; 1 009    ;611;28/02/2018
G13-041028L;157150089;157150089/2013;Compensée;LI;AXEL-10-000552;TER;2013; 825    ; 825    ; -      ; -      ;-825    ; -      ;388;28/02/2018
G13-041068L;275100296;275100296/2013;Compensée;LI;AXEL-10-001173;TER;2013; 4 466    ; 2 597    ; 1 870    ; -      ; -      ; 4 466    ;0;28/02/2018
G13-041104L;88780038;88780038/2013;Compensée;LI;AXEL-10-000385;TER;2013; 1 496    ; 1 496    ; -      ; -      ;-1 496    ; -      ;654;28/02/2018
G13-041160L;36040021;36040021/2013;Compensée;LI;AXEL-10-000484;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;570;28/02/2018
G13-041172L;230790070;230790070/2013;Compensée;LI;AXEL-10-000082;TER;2013; 1 588    ; 1 588    ; -      ; -      ;-1 530    ; 58    ;444;28/02/2018
G13-041177L;9012030088;9012030088/2013;Compensée;LI;AXEL-12-001574;TER;2013; 1 888    ; 1 471    ; 417    ; -      ; -      ; 1 888    ;600;28/02/2018
G13-041181L;9012030105;9012030105/2013;Compensée;LI;AXEL-12-001574;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;688;28/02/2018
G13-041182L;275100261;275100261/2013;Compensée;LI;AXEL-10-001173;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;612;28/02/2018
G13-041197L;9006600150;9006600150/2013;Compensée;LI;AXEL-10-000974;TER;2013; 13 605    ; 8 178    ; 5 427    ; -      ;-2 100    ; 11 505    ;505;28/02/2018
G13-041202L;268150014;268150014/2013;Compensée;LI;AXEL-10-000755;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;795;28/02/2018
G13-041208L;9010580011;9010580011/2013;Compensée;LI;AXEL-12-001450;TER;2013; 6 590    ; 3 589    ; 3 001    ; -      ; -      ; 6 590    ;1 520;28/02/2018
G13-041289L;240550324;240550324/2013;Compensée;LI;AXEL-10-000197;TER;2013; 5 218    ; 3 024    ; 2 195    ; -      ;-3 024    ; 2 195    ;707;28/02/2018
G13-041396L;169610028;169610028/2013;Compensée;LI;AXEL-10-000735;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;690;28/02/2018
G13-041407L;427040006;427040006/2013;Compensée;LI;AXEL-12-001493;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;692;28/02/2018
G13-041429L;9010630011;9010630011/2013;Compensée;LI;AXEL-12-001458;TER;2013; 10 663    ; 6 100    ; 4 563    ; -      ; -      ; 10 663    ;580;28/02/2018
G13-041431L;9006190014;9006190014/2013;Compensée;LI;AXEL-10-000904;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;510;28/02/2018
G13-041442L;169610054;169610054/2013;Compensée;LI;AXEL-10-000735;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;500;28/02/2018
G13-041547L;9012660005;9012660005/2013;Compensée;LI;AXEL-12-001608;TER;2013; 5 693    ; 4 478    ; 1 215    ; -      ;-1 254    ; 4 439    ;755;28/02/2018
